20260429	15:00:39	58db8d71-7553-440a-b5b2-efa601728eaa	GET	undefined	/
20260429	15:00:39	d9787b98-e68f-4cd8-902f-bab3ffe675f6	GET	undefined	/css/style.css
20260429	15:00:44	84414f53-4c12-4899-9000-28f962dd4c81	GET	undefined	/favicon.ico
20260429	15:00:53	23400b56-bdc9-4f71-a3fc-7dedf019a81d	GET	http://localhost:5173	/refresh
20260429	15:00:53	2a27e9a7-d971-46c6-bebc-9ce51f728e43	GET	http://localhost:5173	/refresh
20260429	15:00:53	d8336551-e966-407e-8fe9-686f1aeade4b	GET	http://localhost:5173	/refresh
20260429	15:00:54	c2c1f98b-cca8-4892-b6aa-dec9800f1064	GET	http://localhost:5173	/refresh
20260429	15:00:54	3ecbe637-6f51-45b8-b517-b3b6187131d2	GET	http://localhost:5173	/refresh
20260429	15:00:54	6ba7810f-7089-4213-8dbc-185f8e31b439	GET	http://localhost:5173	/refresh
20260429	15:00:59	7c267222-4b67-4152-a9de-9397a7656c49	GET	http://localhost:5173	/refresh
20260429	15:00:59	839c98e9-c345-4fc6-ad6c-3f96e42e013c	GET	http://localhost:5173	/refresh
20260429	15:00:59	4b29469c-d4ff-4554-86fd-9c56fb5e3257	GET	http://localhost:5173	/refresh
20260429	15:01:05	d2036159-67d7-4838-b7b2-c529aec3002e	OPTIONS	http://localhost:5173	/login
20260429	15:01:05	d6d91950-d9a2-4d23-a278-213281d946fd	POST	http://localhost:5173	/login
20260429	15:01:11	b97b10b0-7faf-43bf-83c5-974aa0d6a909	OPTIONS	http://localhost:5173	/login
20260429	15:01:11	0960081f-708a-4399-99d0-b1df3ecc41c1	POST	http://localhost:5173	/login
20260429	15:01:22	b7ec1260-ec23-4db2-84ab-3bd356eb9eb6	OPTIONS	http://localhost:5173	/login
20260429	15:01:22	9fe45829-385f-4cd6-b4db-8c97fb80af3b	POST	http://localhost:5173	/login
20260429	15:03:39	3c6f12ff-da90-451a-9505-c3861cef2e4d	OPTIONS	http://localhost:5173	/login
20260429	15:03:39	4e0afd1a-2509-4209-95ae-96b5ccec42c0	POST	http://localhost:5173	/login
20260429	15:03:40	a7913776-0394-43e8-8676-8467e4979177	POST	http://localhost:5173	/login
20260429	15:03:57	8728c518-264c-45a4-86fd-370c46687ea3	OPTIONS	http://localhost:5173	/login
20260429	15:03:57	f9930891-7840-457d-9262-5a27bb90ebc3	POST	http://localhost:5173	/login
20260429	15:03:58	b482ee12-dc12-4c0e-b444-147433dd0060	OPTIONS	http://localhost:5173	/employees
20260429	15:03:58	4ceceb19-5b24-4765-8cb1-2626a69853ff	OPTIONS	http://localhost:5173	/employees
20260429	15:03:58	53000e69-5498-434f-a705-8e78120b71bc	GET	http://localhost:5173	/employees
20260429	15:03:58	43dc85d6-fa2a-43b6-8b37-9c1dd98e384a	GET	http://localhost:5173	/employees
20260429	15:04:05	ccde5b7b-2f66-4c99-9488-0b6fe41d1b52	OPTIONS	http://localhost:5173	/employees
20260429	15:04:05	a92ea951-8171-4c33-b9f9-c2132119e08c	POST	http://localhost:5173	/employees
20260429	15:04:05	ffa26244-f527-4dfa-bb9a-0000e305a184	GET	http://localhost:5173	/employees
20260429	15:04:11	b256efc8-6af9-4a9c-b6b5-03d34cf90e65	OPTIONS	http://localhost:5173	/employees
20260429	15:04:11	6fd1df10-4bd4-4332-9c6e-e3b4df02c116	OPTIONS	http://localhost:5173	/employees
20260429	15:04:11	43868242-8f38-4de9-9f20-2cdbf3258a72	GET	http://localhost:5173	/employees
20260429	15:04:11	fc7bef11-b9eb-4d07-b39f-5a2b2dca22eb	GET	http://localhost:5173	/employees
20260429	15:04:15	eb8046a2-9c2f-4e4d-a29d-504bf77f78e8	GET	http://localhost:5173	/employees
20260429	15:04:15	a52c650b-197d-45a7-8d5d-2db8b03b39dd	GET	http://localhost:5173	/employees
20260429	15:04:22	a758513a-0017-4a04-97b8-1a722d0c2a45	GET	http://localhost:5173	/logout
20260429	15:04:22	3db70ecc-b862-4031-a420-635f5ae8ee4d	GET	http://localhost:5173	/refresh
